Mother Prompt,Child Response,Raw Score,Extracted Score
put them on the wall and then it's time for you to be clean .,can't find it .,2,2.0
let me see a b f .,i'm having a bxo .,1,1.0
think he's judging anything ?,yep .,3,3.0
I'll just put this in for another ten seconds .,why ?,3,3.0
beggars can't be choosers .,hot now .,2,2.0
oh here's a horsie .,eat .,1,1.0
ah there's some money .,thank you .,4,4.0
you're a nice girl .,i don't .,2,2.0
there's no more pigs .,pig .,2,2.0
you want to do it this time ?,no .,3,3.0
that's not a very good idea though .,what's this ?,2,2.0
waking her up .,waking her up .,3,3.0
they can hang it up like this and it will go shh .,they have to put the snake there .,2,2.0
you've used lots of soap .,on your lips .,3,3.0
oh very nice .,and this one's for cname .,3,3.0
"hello , Puss .",hello .,4,4.0
put them on the wall and then it's time for you to be clean .,can't find it .,2,2.0
let me see a b f .,i'm having a bxo .,1,1.0
think he's judging anything ?,yep .,3,3.0
I'll just put this in for another ten seconds .,why ?,3,3.0
beggars can't be choosers .,hot now .,2,2.0
oh here's a horsie .,eat .,1,1.0
ah there's some money .,thank you .,4,4.0
you're a nice girl .,i don't .,2,2.0
there's no more pigs .,pig .,2,2.0
you want to do it this time ?,no .,3,3.0
that's not a very good idea though .,what's this ?,2,2.0
waking her up .,waking her up .,3,3.0
they can hang it up like this and it will go shh .,they have to put the snake there .,2,2.0
you've used lots of soap .,on your lips .,3,3.0
oh very nice .,and this one's for cname .,3,3.0
"hello , Puss .",hello .,4,4.0
he wants to be your friend .,my friend .,3,3.0
don't be long .,i'm not .,4,4.0
put her clothes on .,her legs in there .,3,3.0
"I think they've all got butterflies on , Helen .",yeah .,4,4.0
what're you making ?,a bear .,4,4.0
red slippers with Pooh Bear on .,a baby jumper .,2,2.0
if we get a bit organized .,yeah .,4,4.0
just a second .,i want to do this .,3,3.0
it's a wet one .,wet one ?,3,3.0
you sit next to him and show him how to do it .,mummy do it .,2,2.0
we can't take them now .,oh .,3,3.0
have you got your bus fare ?,yeah .,4,4.0
"well, why don't you use a different dinosaur to tell a story .",i wanted to use that one .,3,3.0
well I tell you be respectful .,i don't know .,3,3.0
going to give them some drinks ?,mhm .,4,4.0
he has gone ?,yeah .,4,4.0
what was it ?,blue .,3,3.0
"it is , Darling .",yeah .,3,3.0
what else did you pretend this was ?,spoon .,3,3.0
have you been in a tent ?,no .,3,3.0
that's called a scorpion .,oh .,4,4.0
she says she's going shopping .,but i want to take it .,2,2.0
"that goes in that tub , doesn't it ?",yes .,4,4.0
what is it then ?,a fire .,3,3.0
you do know !,they're not going to fall .,2,2.0
you going to put all the animals back now ?,yeah .,4,4.0
what's he doing ?,what's he doing ?,3,3.0
why is he bad ?,yeah .,1,1.0
what do you think that is ?,"a, apple .",4,4.0
mind the oven .,yeah .,4,4.0
it's a lucky bet .,think .,3,3.0
let's go and see if you've tidied up .,it's cold .,3,3.0
that's the zebra .,where the zebra ?,3,3.0
I'm just washing the bath out while I wash my hair .,do you want to .,3,3.0
to make sure you stay safe .,no .,2,2.0
I don't know .,i've got two things in there .,2,2.0
will it go really fast ?,it .,2,2.0
by the pond .,to go down .,2,2.0
do you think Charlie's a boy or a girl ?,no .,2,2.0
who's the naughty bus ?,boys in red group .,4,4.0
see how that fits together like that see how snug they are when you do them the right way ?,no .,2,2.0
do you want me to put it under the cushion ?,yeah .,4,4.0
what's the matter ?,i need the dummy .,3,3.0
maybe Big Bird helped him .,yeah .,4,4.0
dry your hands .,no .,2,2.0
finished with the cheese ?,there is the cheese .,3,3.0
oh well is this green rope something that you play with at Grandma's and Granddad's house ?,a david home .,2,2.0
where you going ?,going a store .,4,4.0
look how pink your bath is from putting all that stuff in .,no .,2,2.0
that thing he's got in his hand .,a helicopter .,4,4.0
"I think they're all friends together , aren't they ?",where the fishes ?,1,1.0
kind of looks like he's thinking .,a pineapple .,3,3.0
why don't you show them to the dolly ?,dolly .,3,3.0
here you are then .,i want to put the duvet over me .,4,4.0
you pull the box and I'll put these things in it .,i put that in there .,3,3.0
that's the green one .,that the green one .,3,3.0
where's panda's car ?,that .,3,3.0
"la , la , la .","la , la , la .",4,4.0
what is it ?,he was so .,2,2.0
num num they're going to eat the apples .,eat .,3,3.0
I think that looks like a Uwww one .,i want to play it now .,2,2.0
I think so .,why ?,3,3.0
who's his friend ?,i know .,2,2.0
I was wondering who told you your neck needed washing .,oh .,3,3.0
let's go back through here .,not today .,2,2.0
you're going to play in there .,yeah .,4,4.0
look at him .,he's got lots of friends .,3,3.0
how many are there ?,one .,3,3.0
oh well you see .,a little one .,3,3.0
"no, that's silly .",yeah .,3,3.0
and dog goes with the bones .,bone .,3,3.0
have you finished ?,finish .,2,2.0
oh is it raining ?,no .,2,2.0
this is to buy the things here .,why ?,3,3.0
that's the ketchup ?,"here you go, mommy .",4,4.0
but not right now .,later on .,3,3.0
is this a good track ?,yes it is .,4,4.0
what does that spell ?,spray paint .,3,3.0
Ellie loves board .,thank you .,3,3.0
so maybe grandma grandpa will watch .,why ?,3,3.0
"la , la , la .","la , la , la .",4,4.0
maybe Big Bird helped him .,he's on the fire .,1,1.0
I'm just washing the bath out while I wash my hair .,a down now .,2,2.0
I think so .,no .,2,2.0
put them on the wall and then it's time for you to be clean .,no .,2,2.0
don't be long .,i won't .,4,4.0
did you blow anything out ?,mhm .,3,3.0
it's like in the grocery store when go shopping .,i know .,4,4.0
