Model,Dataset,Accuracy
llamalogue-main,Words,0.6429517753047165
llamalogue-main,Tokens,0.6384308510638298
llamalogue-chck_100M,Words,0.6429517753047165
llamalogue-chck_100M,Tokens,0.6384308510638298
llamalogue-chck_90M,Words,0.6434817170111288
llamalogue-chck_90M,Tokens,0.6386968085106383
llamalogue-chck_80M,Words,0.6432167461579227
llamalogue-chck_80M,Tokens,0.6393617021276595
llamalogue-chck_70M,Words,0.6418918918918919
llamalogue-chck_70M,Tokens,0.6393617021276595
llamalogue-chck_60M,Words,0.6436142024377318
llamalogue-chck_60M,Tokens,0.6393617021276595
llamalogue-chck_50M,Words,0.6400370959194489
llamalogue-chck_50M,Tokens,0.6372340425531915
llamalogue-chck_40M,Words,0.6442766295707473
llamalogue-chck_40M,Tokens,0.6341755319148936
llamalogue-chck_30M,Words,0.6365924748277689
llamalogue-chck_30M,Tokens,0.6340425531914894
llamalogue-chck_20M,Words,0.6255961844197139
llamalogue-chck_20M,Tokens,0.6236702127659575
llamalogue-chck_10M,Words,0.6167196608373079
llamalogue-chck_10M,Tokens,0.6148936170212767
llamalogue-chck_9M,Words,0.6165871754107048
llamalogue-chck_9M,Tokens,0.6148936170212767
llamalogue-chck_8M,Words,0.6136724960254372
llamalogue-chck_8M,Tokens,0.6143617021276596
llamalogue-chck_7M,Words,0.6118177000529942
llamalogue-chck_7M,Tokens,0.6099734042553191
llamalogue-chck_6M,Words,0.6086380498145204
llamalogue-chck_6M,Tokens,0.605718085106383
llamalogue-chck_5M,Words,0.6032061473237944
llamalogue-chck_5M,Tokens,0.6031914893617021
llamalogue-chck_4M,Words,0.5948595654478007
llamalogue-chck_4M,Tokens,0.5944148936170213
llamalogue-chck_3M,Words,0.5968468468468469
llamalogue-chck_3M,Tokens,0.5857712765957447
llamalogue-chck_2M,Words,0.575649178590355
llamalogue-chck_2M,Tokens,0.5695478723404256
llamalogue-chck_1M,Words,0.5614732379438262
llamalogue-chck_1M,Tokens,0.5490691489361702
