Model,Accuracy
Baseline,0.402690790999768
Blue,0.40663419160287634
SemSim,0.3966597077244259
Score,0.4019948967756901
Uncertainty,0.40802598005103224
llamalogue-main,0.402690790999768
llamalogue-chck_100M,0.402690790999768
llamalogue-chck_90M,0.402690790999768
llamalogue-chck_80M,0.4073300858269543
llamalogue-chck_70M,0.4089538390164695
llamalogue-chck_60M,0.4112734864300626
llamalogue-chck_50M,0.41521688703317094
llamalogue-chck_40M,0.4052424031547205
llamalogue-chck_30M,0.402690790999768
llamalogue-chck_20M,0.40477847367200187
llamalogue-chck_10M,0.39921131987937836
llamalogue-chck_9M,0.4017629320343308
llamalogue-chck_8M,0.40292275574112735
llamalogue-chck_7M,0.4022268615170494
llamalogue-chck_6M,0.3959638135003479
llamalogue-chck_5M,0.3929482718626769
llamalogue-chck_4M,0.39318023660403617
llamalogue-chck_3M,0.391556483414521
llamalogue-chck_2M,0.38923683600092784
llamalogue-chck_1M,0.3934122013453955
