epoch,batch,avg_reward
1,1,0.1671
1,2,0.2330
1,3,0.1584
1,4,0.2534
1,5,0.2099
1,6,0.3125
1,7,0.1852
1,8,0.1927
1,9,0.3169
1,10,0.2332
1,11,0.1906
1,12,0.2244
1,13,0.2089
1,14,0.2505
1,15,0.1970
1,16,0.2077
1,17,0.2540
1,18,0.2515
1,19,0.3019
1,20,0.1427
1,21,0.1861
1,22,0.2629
1,23,0.1753
1,24,0.3237
1,25,0.2237
1,26,0.2397
1,27,0.2207
1,28,0.2178
1,29,0.1935
1,30,0.2039
1,31,0.2265
1,32,0.1544
1,33,0.2421
1,34,0.1909
1,35,0.1977
1,36,0.2272
1,37,0.2629
1,38,0.2993
1,39,0.1657
1,40,0.2493
1,41,0.1837
1,42,0.2298
1,43,0.2589
1,44,0.2899
1,45,0.2165
1,46,0.2173
1,47,0.2123
1,48,0.3141
1,49,0.1952
1,50,0.1440
1,51,0.3034
1,52,0.2815
1,53,0.1828
1,54,0.2160
1,55,0.2451
1,56,0.1849
1,57,0.2978
1,58,0.2049
1,59,0.1928
1,60,0.2865
1,61,0.2569
1,62,0.2335
1,63,0.2355
1,64,0.2181
1,65,0.2166
1,66,0.2194
1,67,0.2894
1,68,0.2476
1,69,0.2786
1,70,0.1945
1,71,0.2453
1,72,0.1979
1,73,0.2323
1,74,0.1706
1,75,0.1815
1,76,0.2930
1,77,0.3315
1,78,0.2024
1,79,0.2493
